Title,Description,User_Notes,Status,Original_PB_Status,PB_ID,Needs_Enrichment
creation paragraph element enhancement in the graphic editor,,"

---
**User Feedback:**
- Be able to use rich text in an text field in the same paragraph in the widget graphical editor.(Colors, List item, numbered list item)Be able to use their own font (without using CSS)
- When inserting a new paragraph element in the graphic editor, don't attach predefined styling to it.
- Need 1/3:For paragraph and image insertions, give the client the possibility to say if it is above the site or in the site (as in the personal)In case of selection of ""in the site"", ask the visitor to indicate the place where to insert the text/html (as currently in the perso)
- Need 2/3: (to be done after or at the same time as Need 1) Delete the CSS added when inserting a block ""in the site"".",Under Review,New idea,13511237,Yes
Crazy Egg - Snapshot feature integration,"# 💁‍♂️ Problem/Context ## **Description** Crazy Egg has a [snapshot feature](https://www.crazyegg.com/snapshots). This integration is about allowing user to easily use their Crazy Egg snapshot with their Kameleoon campaigns. ## Workaround No ## **Project justification** **Project type** - Requested capability - New product concept or workflow **Justification** Crazy Egg has requested it, and they already have [the same integration with Optimizely](https://support.crazyegg.com/hc/en-us/articles/1500000935762-Optimizely-Integration). # 💡 Solution **Package** A/B Testing / Personalization **Scope** To be defined **User roles** All **Design** To be defined # 🎯 **Measuring Success** *To be defined* --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: mandatory (paste link)","

---
**User Feedback:**
- Add an integration with the snapshot feature of crazy egg. https://www.crazyegg.com/snapshotsA lot of client use this snapshot feature but at the moment it require to add a specific code to the test or the variation : At the moment this code needs to be added manually but it would bring great value if we could update the bridge with crazy egg and provide a no code option for this. Crazy egg would be happy to work with us on this and would then be willing to comunicate about us to the clients.",Complete,Released,13532390,No
Enable Audiences for all packages,,,Complete,Released,13556479,Yes
track the exit rate of my visitors on specific URLs,,"

---
**User Feedback:**
- As a user, I want to track the exit rate of my visitors on specific URLs as it is a very important indicator for my AB test performance",Under Review,New idea,13726006,Yes
Multivariate Tests Support on SDKs,"# 💁‍♂️ Problem/Context ## **Description** As a developer, I want to use SDKs to create MVTs (multivariate tests). ## Workaround No, except hard coded handler. ## **Project justification** **Project type** - Requested capability **Justification** This will allow the developers using Kameleoon to make them engage more with the SDKs since they can build MVTs. # 💡 Solution **Package** Full stack **Scope** SDKs libraries **User roles** Technical **Design** To be defined # 🎯 **Measuring Success** To be defined --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: mandatory (paste link)","

---
**User Feedback:**
- Multivariate Test for SDKs",Under Review,New idea,13734024,No
Image library in Code Editor,"# 💁‍♂️ Problem/Context ## **Description** As a developer, I want to use images in the code editor, in particular : - Uploading images in the image library from my computer from the code editor page - Using images that are in the library in the code section (generated URL) ## Workaround No. ## **Project justification** **Project type** - Requested capability **Justification** Requested by our customer **L'Equipe** (insight from Sacha Warin). # 💡 Solution **Package** A/B Testing **Scope** Code Editor **User roles** All **Design** To be defined. Here what the pop-up from the Graphic Editor looks like: ![](https://pb-files.s3.amazonaws.com/production/attachments/63c03c8a0cfa9a41d3a90003ec59aa9a64eb63a448a89e2e144e67171965528f/image.png) # 🎯 **Measuring Success** **Goal 1** Measuring the use of the library from the code editor. - Number of customer using the image library from the code editor - Number of clicks related to the image library from the code editor --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: mandatory (paste link)","

---
**User Feedback:**
- Would it be possible to access the picture library via the code editor directly ? Or to have an access to this library from the BO dashboard ?",Under Review,New idea,13735603,No
Administration Redesign : SSO Google,"# 💁‍♂️ Problem/Context ## **Description** Internal administrators should login to administration app via SSO Google. Integration is now possible via Gravitee SSO. We will define groups in google, full admin and admin, these groups will be passed in the SSO response. - For internal admin app : We can directly login via Google SSO. - For admin access to app : Once logged in via SSO we can show a page to enter the client's email and then check the rights and redirect to app =\> This is more complex to do, so could be done later, once the SSO for admin app is working well. ## Workaround No ## **Project justification** **Project type** - Operational improvement - Risk mitigation **Justification** Google will allow users to use the Multifactor authentication. It reduces the rick of piracy. # 💡 Solution **Package** *-* **Scope** BO Admin **User roles** Users of BO Admin **Design** To be defined. # 🎯 **Measuring Success** *NA* --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:[ ](http://project.kameleoon.net//issues/16974)",,Complete,Released,13876644,No
Project page - lot 1- step 2,"## 💁‍♂️ Problem/Context **Description:** Describe the problem you are trying to solve. As a user of BO client kameleoon when I want consult informations of a website/project I want to have overall informations in order to take decisions quickly - **Existing workaround:** Yes - **Workaround description:** Informations of a specific site are dispatched between several dashboard in the BO **Project justification:** - **Project type:** Improvement to existing workflow - **Justification:** It is very difficult to have a overview of a project/site activity, The dashboard enhancement has good advantage to user who want to know exactly in one glimpse what campaigns was created for one site ## 💡 Solution - **Product package:** All - **Product scope:** Site dashboard - **User roles**: All - **Design:** The goal is to have a better orveview of activity on my site/project and have access to general informations and CTA in the same dashboard This US is composed of : - a new page for sites and project (a king of welcoming screen) to get a clear view on the state of the site/projects - additional enhancements of installation flow for the client-side offer only (after lot 1) - a dedicated page for the global script, with ability to simulate it - a dedicated page for legal consent - a dedicated page for the other configuration On the right side of site dashboard we will have a right side bar with all those new categories of pages on it ## 🎯 **Measuring Success** - **Goal 1:** Engagement - **Success metric:** Allow the user install easily a site or project on the BO - **Goal 2:** Satisfaction - **Success metric:** Create a adapted project installation access for package client side & server side users --- ## 📄 Attached documents - **Figma file**: [link](https://www.figma.com/file/ZUAid0hgINXxwpaLUwMj4h/US-7377---Projects-pages---Lot-1---Step-2?node-id=168%3A1) - **Spec file**: ongoing - **Redmine ticket**: ongoing",,Planned,Planned,13879487,No
"Collective actions - goals & segments - Lot 1 : activate, disable, manage tags, export, delete","## 💁‍♂️ Problem/Context **Description:** As a BO user, I would like to make multiple selection of segments or goals, in order to apply actions to all elements at the same time *Improve the “select all” behaviour available on our Goals & Segments pages. Currently, only the elements displayed in frontend are selected. The enhancement will enable to select all elements from backend / in database. Finally, users will save time by applying an action to multiple items at once.* --------— - **Existing workaround:** Yes - **Workaround Description:** You can select all elements displayed on the front (around 20), and repeat the action until all elements selected **Project justification:** - **Project type:** Requested capability (existing customers or prospects) - **Justification:** Critical request from 2021 in productboard > FDJ Insights (brought up by CS team): > > ""FDJ wanted an extract of all the goals but only 20 stand out"" ## 💡 Solution - **Product package:** Full stack - **Product scope:** On the BO segment dashboard , On the BO goals dashboard - **User roles**: All - **Design:** Steps of the solution - We can access on goal dashboard or segment dashboard - On the right side of each element, there is a 3 dots button - On click, we have access to a checkbox and several options - We can do one of the actions, on all goals/segments selected (goal: activate, disable, manage tags, export, delete / segment: manage tags, export, delete) - We can make the selection: individually, for several items, or for all items (not only in the front) ## 🎯 **Measuring Success** - **Goal 1:** satisfaction/ allows user to select all information as indicated on the actions “select all” - **Success metric:** Satisfaction of customers with this feature (work with consultants) --- ## 📄 Attached documents - **Figma file**: For ""Export"" : For ""Delete"" : For ""Manage tags"" : - **Spec file**: None - **Redmine ticket**:","

---
**User Feedback:**
- FDJ Insights (brought up by CS team): ""FDJ wanted an extract of all the goals but only 20 stand outDid you plan a feature request [...] ?""",Complete,Released,13882617,No
Rollout Planner v1.1 | UX Improvements,**v1.1** includes improvements and tweaks to the UI/UX : 1. Move submenu to main sidebar and update icons 2. Add tabs to rules queue for filtering between different statuses of rules. 3. Restrict users from accessing results page for a feature flag if a main goal is not selected 4. Display scheduled start time information on queued rule cards 5. Rule selection changes to a one click action - pressing continue no longer required 6. Improve the copy and help texts for English,,Complete,Released,13885559,No
Rollout Planner v2,"🚧 To be updated 🚧 **v2** is our major upcoming update that will change both, the user experience as well as the backend workings of how the rollout planner works.",,Complete,Released,13895239,No
Goal creation /switch the Selector over the displayed page,,"

---
**User Feedback:**
- problem in GOALS =&gt; Click goal (new)Customer having problems to scroll down to selector. They can't see it, because there is the hugh page where customer can select an elementImprovement: please switch the Selector over the displayed page.So customers could fill in it manually and they see that important (chosen) selector directly on top.",Under Review,New idea,13921452,Yes
Timeline / the option to edit your changes,,"

---
**User Feedback:**
- Please add the option to edit your changes. Currently it is only possible to view the history of changes that have been made. However, it would be very convenient to also be able to edit them, for instance how this is organized within Google Optimize. Now you constantly make a new change, rather than one big one.",Under Review,New idea,13921508,Yes
Package Server-Side lot 2,"## 💁‍♂️ Problem\/Context - **Description:** As a FME or Hybrid package user, I want to have access to a BO client wich fits with my needs - **Existing workaround:** Yes - **Workaround description:** Existing solution, not using options and parameters not related to the current package **Project justification:** - **Project type:** Improvement to existing workflow - **Justification:** User expected to have only parameter useful to fulfill his task and linked to his current package\. For example, Personnalisation campaigns creation doesn't include non useful feature flag element\. This indicator can be measured on mixpanel \( Analyse if the client click on non necessary elements for his campaign \)\. This US is also necessary to prevent upgrade and downgrade of campaigns\. ## 💡 Solution - **Product package:** Full stack - **Product scope:** Product section and pages that will evolve \(on the contrary, you can specify what is out of scope\) - **User roles**: all - **Design:** After a full diagnostic, adaptations on what it displays according the to package will be made\. Elements will be deleted Element will be shedded Element will switch to “optional” - Those changes will be on - Installation project page - New experiment project page - Experiment dashboard - Advanced tool dashboard - SDK code editor finalize panel - Hybrid code editor panel ## 🎯 **Measuring Success** - **Goal 1:** Satisfaction \- Provide a dedicated BO according to the user needs will reduce friction in the user flow and make a smoother experience - **Success metric 1:** NB of experiments \(SDK and hybrid\) created for server side clients - **Success metric 2 :** NB of subscription to Fullstack only package ## 📄 Attached documents - **Figma file**: on going - **Spec file**: on going - **Redmine ticket**: on going",,Planned,Planned,13923683,No
Graphic editor: Possibility to edit elements on a submenu,idea: Add switch nav\edition short cut to access to sub menu,"

---
**User Feedback:**
- Sur le WYSIWYG de l'AB testing, il arrive que nous nous puissions pas accéder à certains sous-menu (qui n'apparaissent que au hover ou disparaisse au clic sur un élément externe). Ainsi, sur le site SOMFY, il n'est pas possible d'utiliser le WYSIWYG sur le menu de navigation car le passage du menu navigation à édition fait disparaitre le volet.Idée : Ajouter un raccourci clavier pour le switch nav&lt;&gt;edition pour ne plus à avoir à cliquer sur CTA ni quitter l'élément avec la sourie
- from fabriceGraphic editor current limitation: Not possible to apply changes on a sub-menu that displays when clicked: To display the menu, one need to be in navigation mode and clic on the menu; and then, when switching to editing mode, the menu is not displayed anymore.Example on this site : https://www.somfy-group.com/fr-fr/Idea for improvement: Switch from navigation mode to editing mode through a keyboard shortcuts that freezees what's currently displayed on the page",Complete,Released,14095719,Yes
Be able to select an action based on a custom data value,,"

---
**User Feedback:**
- Be able to select an action based on a custom data value.Exemple:popin_closed = trueshow the small badge",Under Review,New idea,14095733,Yes
Make JS script code section bigger,,"

---
**User Feedback:**
- Now that the experiments code editor is looking great, it would be nice to be able to hide the left panel so the JS script will be wider and have more space.",Under Review,New idea,14095764,Yes
Traffic reallocation option on Code Editor - Backend part,"# 💁‍♂️ Problem/Context ## **Description** As a developer, I want to do be able to use the traffic reallocation option directly from the Code Editor. - **Existing workaround:** Yes - **Workaround description:** Traffic reallocation is available on the [Graphic Editor](https://help.kameleoon.com/set-up-and-launch-classic-ab-experiment/#6). ## **Project justification** - **Project type:** Requested capability - **Justification:** See insights # 💡 Solution - **Product package:** A/B Testing - Developer Editor - **Product scope:** Code Editor page (example : [https://app.kameleoon.com/experiments/codeEditor/**[id]](https://app.kameleoon.com/experiments/codeEditor/**%5Bid%5D)** ) - **User roles**: All - **Design:** Explain with bullet points what your solution consists in (make it synthetic) - In Code Editor page, in the **Traffic allocation** pop-up, we will add the traffic reallocation option, just like it is in the Graphic Editor - ![](https://pb-files.s3.amazonaws.com/production/attachments/f7925a642697f7431a961c93581cc5ce61d7621d4e270edc15971a6de0457a61/image.png) # 🎯 **Measuring Success** - **Goal 1:** Exploring the reallocation option on the Code Editor - **Success metric:** Number of clicks on the *Traffic reallocation* button - **Goal 2:** Use of Traffic reallocation on code-based experiments - **Success metric:** Number of code-based experiments using the traffic reallocation option --- # 📄 Attached documents - **Figma file**: optional (paste link) - **Spec file**: [Google docs](https://docs.google.com/document/d/1KgNyTmxBUfLT0qvf0CWdxWQwt2X0Rt9TfVbMNv5tVng/edit?usp=sharing) - **Redmine ticket**:",,Closed,Rejected,14120459,No
Kameleoon Extension - Element Set - V1 - Colored blocks,"# Internal Release Note # 💁‍♂️ Problem/Context ## **Description** As a user, I want to be able to use the Chrome extension to see all the selectors of the elements settings attached to my experiments. ## Workaround No. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # 💡 Solution **Package** A/B Testing **Scope** Chrome Extension **User roles** All **Design** No design. # 🎯 **Measuring Success** *To be defined.* --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:",,Complete,Released,14139699,No
Kameleoon Extension - Element Set - V3 - On hover interaction,"# 💁‍♂️ Problem/Context ## **Description** As a user of the Chrome Extension, I want to be able to see the corresponding elements (selectors with status) attached to my experiments in the page. ## Workaround No. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # 💡 Solution **Package** A/B Testing **Scope** Chrome Extension **User roles** All **Design** No design. # 🎯 **Measuring Success** *To be defined.* --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:[ ](https://project.kameleoon.net/issues/17131)",,Complete,Released,14139821,No
Kameleoon Extension - Element Set - V4 - Block selection,"I reject this, because I found a better way to implement it. # 💁‍♂️ Problem/Context ## **Description** As a user of the Chrome Extension, I want to be able to select one or more blocks of element to see the corresponding element in the page in the page without having to have the cursor on a block (on hover). ## Workaround No. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # 💡 Solution **Package** A/B Testing **Scope** Chrome Extension **User roles** All **Design** No design. # 🎯 **Measuring Success** *To be defined.* --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:[ ](https://project.kameleoon.net/issues/17072)",,Closed,Rejected,14139827,No
Click tracking goal creation in GE2,Recap: Click tracking: Request a CSS selector only when creating a click tracking goal This user story include 3 Insights of consultant team: -enhancement of selector CSS -give option to select wich URL’ will be include in the retention rate -Hide the gray screen when the website is not allowed to accept Iframe,"

---
**User Feedback:**
- Need 1: When creating a click tracking goal, ask if you want to create : With a CSS selector With a selection of an element from an ""example"" page Remember that the CSS selector concerns the whole site (and not just the page displayed)
- Need 2:In some cases, a client may want a click tracking configuration from a particular page/type of page.Give the visitor the possibility to determine the URL(s) for which conversion is to be included (and only those URLs):Exact URLURL containsREGEXP URL
- Need 3: Do not display a grey screen page when the site does not allow iframe.
- I'd like to create a click tracking via the BO (without using the graphic editor) on an element that does not have the same selector on mobile &amp; desktop.Impossible to select the element in the mobile version after having selected the element on desktop.
- Hello product team!Could we please include again the tracking feature within the new graphical editor, please? Clients are getting annoyed...and could even churn for that reason :/(many clients are asking for it: rossel, libération foussier, etc.)Thanks!
- Pain Point: In the old editor, it was possible to create clickgoals directly in the graphical editor. The graphical editor in the Goal section doesn't have all the functions and offers a small screen in the overlay to work graphically in a meaningful way.As a workaround I have to find my selector from the browser console and copy it into the Goal overlay. Everything else rarely works well. This process typically happens several times because trial and error is necessary. Solution: bring back the goal creation function to the new GE",Complete,Released,14142739,No
Kameleoon Extension - Element Set - V2 - Update list,"# Internal Release Note # 💁‍♂️ Problem/Context ## **Description** As a user of the Chrome Extension, I want elements (selectors with status) attached to my experiments to be updated every 3 seconds. ## Workaround No. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # 💡 Solution **Package** A/B Testing **Scope** Chrome Extension **User roles** All **Design** No design. # 🎯 **Measuring Success** *To be defined.* --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:",,Complete,Released,14149608,No
VS Code Extension - Goal creation,"# 💁‍♂️ Problem/Context ## **Description** As a developer, I want to be able to use the VS Code extension to create a goal. ## Workaround Yes, by using the app. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # 💡 Solution **Package** A/B Testing **Scope** VS Code extension **User roles** All **Design** No design. # 🎯 **Measuring Success** *To be defined.* --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:",,Complete,Released,14171899,No
VS Code Extension - Custom Data creation,"# 💁‍♂️ Problem/Context ## **Description** As a developer, I want to be able to use the VS Code extension to create a custom data. ## Workaround Yes, by using the app. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # 💡 Solution **Package** A/B Testing **Scope** VS Code extension **User roles** All **Design** No design. # 🎯 **Measuring Success** *To be defined.* --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:",,Complete,Released,14171915,No
VS Code Extension - Variation creation,"# 💁‍♂️ Problem/Context ## **Description** As a developer, I want to be able to use the VS Code extension to create a variation. ## Workaround Yes, by using the app. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # 💡 Solution **Package** A/B Testing **Scope** VS Code extension **User roles** All **Design** No design. # 🎯 **Measuring Success** *To be defined.* --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:",,Complete,Released,14171933,No
Traffic reallocation option on Code Editor,"# 💁‍♂️ Problem/Context ## **Description** As a developer, I want to do be able to use the traffic reallocation option directly from the Code Editor. - **Existing workaround:** Yes - **Workaround description:** Traffic reallocation is available on the [Graphic Editor](https://help.kameleoon.com/set-up-and-launch-classic-ab-experiment/#6). ## **Project justification** - **Project type:** Requested capability - **Justification:** See insights # 💡 Solution - **Product package:** A/B Testing - Developer Editor - **Product scope:** Code Editor page (example : [https://app.kameleoon.com/experiments/codeEditor/**[id]](https://app.kameleoon.com/experiments/codeEditor/**%5Bid%5D)** ) - **User roles**: All - **Design:** Explain with bullet points what your solution consists in (make it synthetic) - In Code Editor page, in the **Traffic allocation** pop-up, we will add the traffic reallocation option, just like it is in the Graphic Editor - ![](https://pb-files.s3.amazonaws.com/production/attachments/f7925a642697f7431a961c93581cc5ce61d7621d4e270edc15971a6de0457a61/image.png) # 🎯 **Measuring Success** - **Goal 1:** Exploring the reallocation option on the Code Editor - **Success metric:** Number of clicks on the *Traffic reallocation* button - **Goal 2:** Use of Traffic reallocation on code-based experiments - **Success metric:** Number of code-based experiments using the traffic reallocation option --- # 📄 Attached documents - **Figma file**: optional (paste link) - **Spec file**: [Google docs](https://docs.google.com/document/d/1KgNyTmxBUfLT0qvf0CWdxWQwt2X0Rt9TfVbMNv5tVng/edit?usp=sharing) - **Redmine ticket**:","

---
**User Feedback:**
- a lot of user think we do not have this feature available...They have to go to the graphical editor to do it... But first they must know it",Closed,Rejected,14218701,No
VS Code Extension - Segment creation,"# 💁‍♂️ Problem/Context ## **Description** As a developer, I want to be able to use the VS Code extension to create a segment. ## Workaround Yes, by using the app. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # 💡 Solution **Package** A/B Testing **Scope** VS Code extension **User roles** All **Design** No design. # 🎯 **Measuring Success** *To be defined.* --- # 📄 Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:",,Complete,Released,14218878,No
VS Code Extension Version 3+,"New version of the VS Code extension, including the following features: - Automatic creation of the file architecture - Create an experiment and deploy it - Create a variation - Create a segment - Create a goal - Create a custom data",,Complete,Released,14218979,No
Holdout group for A/B Testing,"## 💁‍♂️ Problem\/Context **Description:** As a data analyst, I would like to measure the long\-term impact of Kameleoon experiments always based on the same segment of excluded visitor\. We currently already get this feature on our personalization module \(we call it ""control group"" and allow users to define a percentage of excluded visitors from the configuration section of each project\), but not for our A\/B testing one\. - **Existing workaround:** Not for the while \- starting from Q4 22, yes - **Workaround description:** Starting from Q4 22, yes, via Kameleoon Segment **Project justification:** - **Project type:** Requested capability - **Justification:** - Feature requested by some prospects\. On 8th of July 22, requested by MongoDB - Deal lost \(Pandora, US customer\)\. One of the reason was the lack of reporting capabilities including Holdout\)\.",,Under Review,New idea,14276400,No
Package server side - urgent US,"## What needs to be done? 1. For customers who subscribed to all our packages, A/B + Fullstack (FME), from the new ""Projects"" page, on click on ""Add project"": - project type field appears. We need first to rename the different options displayed in the dropdown. - we need to add a new option, in third position, called ""Site: All types of campaigns"". The goal of this option is to allow our customers who do both client side and SDK campaigns to have a fully customized javascript snippet suited to their needs (which was not the case with previous option Site SDK) - then, if this new option is selected, their is a specific installation process. The detailed specification related to these three points is avalaible on Figma, here: Note that the installation process doesn't change for already existing options (that are just renamed) 2. For customers who only get our fullstack (FME) package, from the new ""Projects"" page, on click on ""Add project"": - project type field appears (no change here) - just two options need to appear in the dropdown: ""Site: SDK and hybrid campaigns"" and ""Mobile app (SDK campaigns)"". In other words, the 2 other options displayed in this same dropdown in case 1 need to be removed. The behaviour when clicking on these options remains unchanged. 3. For all packages, when creating experiments, adapt the ""project list"" to make it coherent with the type of campaign: - from the experiment dashboard, when clicking on ""New experiment"" CTA, we first need to choose a type of campaign: graphic editor, or JS/CSS, SDK or hybrid - then, on the next popin, user needs to choose a project - in this list, we should only display the projects that are compatible with the chosen campaign type. Please refer to this table where I have summarized the expected behaviour (go the the second tab, called ""By experiment type"") : 4. Once all the points mentioned above are done, we will need to do a Database update for all our existing customers who get all our packages: A/B and fullstack (FME). For them, we will need to consider that all of their projects type are configured on the new option ""Site: All types of campaigns"" ## Attached document: - A table with a complete summary of what is expected in each package to make it clear : - Figma link with specification of this new option: - Translation file (work still in progress):",,Complete,Released,14281842,No
Rollout Planner v1.2 | UX Improvements,**v1.2** includes improvements and tweaks to the UI/UX : 1. Translations for French and German added 2. Progressive delivery cards will now display current rollout percentage 3. Queued rule cards will now display information about their targeted segment 4. 'Weeks' and 'Months' removed from the options when choosing the *increment interval* for progressive delivery 5. Goals created outside the FME package will now be available for feature flags as well,,Complete,Released,14292493,No
Variation creation & management,,,Complete,Released,14292535,Yes
New variable management,,,Complete,Released,14292536,Yes
New layout and nesting of left sidebar,,,Complete,Released,14292537,Yes
Concurrent segments,,,Complete,Released,14292538,Yes
Manual targeting toggle,,,Complete,Released,14292539,Yes
Rule start/stop scheduling,,,Complete,Released,14292554,Yes
Draggable rule cards to change order of priority,,,Complete,Released,14292612,Yes
Product tour - Appcues readiness,,,Complete,Released,14292667,Yes
Ability to switch a server-side test into a hybrid one,,"

---
**User Feedback:**
- Ability to switch a server-side test into a hybrid oneBe able to switch easily a server-side test into a hybrid test. Technical teams are often the one who create SS tests and the marketing team who want to add additional tracking, etc. It would make sense to be able to do that by a simple click instead of deleting a SS test and create a new hybrid test :)",Under Review,New idea,14296076,Yes
Convert last visit Elasticsearch use cases to ClickHouse,,,Complete,Released,14327841,Yes
Internal BO Admin Redesign V1,"## In French - Login via Google SSO pour accéder à l’administration - Login via Google SSO pour accéder à l’app en mode admin (impersonation) - Customers dashboard avec la recherche, filtres, views et la possibilité de modifier toutes les settings de customer - Sites dashboard avec la recherche, filtres et la possibilité de modifier toutes les settings - Accounts dashboard avec la recherche, filtres et settings - La gestion des accès admin pour les accounts qui ont les droits limités (donner ou enlever l’accès à un customer pour un consultant) - Dashboard avec les statistiques Redash ## In English - Login with Google SSO to get access to the Admin BO - Login with Google SSO to get access to the Kameleoon app in admin mode (impersonation) - Customers dashboard with search bar, filters, views and ability to edit the customer's settings - Sites dashboard with search bar, filters, and ability to edit all the settings - Accounts dashboard with search bar, filters and settings - Access management (give or delete right for accounts - Dashboard with Redash statistics",,Complete,Released,14348911,No
Internal BO Admin Redesign V2,"- Create a new customer - Rebuild the kameleoon\.js script - Improvements It contains some bug fixes and improvements, but also two new features : - Customer creation is now available \( When creating a customer you don’t need to put a password anymore, an activation email will be sent to the user to set up his password\) - Kameleoon\.js script rebuild is now available on projects page",,Complete,Released,14348915,No
Experimentation Roadmap (Gantt roadmap),"# 💁‍♂️ Problem\/Context ## **Description** As a Kameleoon consultant, I want to know what is the roadmap for a customer, the state for its campaigns \(past, present and future\)\. Because, **customers don't share their campaign roadmap**, so it can be useful to have a **visualization of their campaigns in a timeline**\. It should be in a **Gantt chart**\. ## Workaround Yes, by looking at the campaigns in the dashboard, one by one\. ## **Project justification** **Project type** - Requested capability - Operational improvement **Justification** Requested by our consultants, improving our operational knowledge\. # 💡 Solution **Package** NA **Scope** BO Admin **User roles** Kameleoon BO Admin users **Design** Gantt diagram representing the campaigns in their different states\. # 🎯 **Measuring Success** NA --- # 📄 Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**: User story \#30250 \- \[SPIKE\] Experimentation Roadmap \(Gantt roadmap\)","

---
**User Feedback:**
- Automated roadmap within Kameleoon platform It would be cool for clients who don't really share their roadmap with us, to have something automatically generated within Kameleoon to have visibility on how many tests were launched by a client each month (similar to a Gantt chart?), to also observe very quickly business seasonality, different colors if tests is still live, or paused (little note or arrow besides the test name if primary goal is improved, etc.) and we could also imagine a backlog list automatically generated based in the ""drafted"" tests. The idea of this roadmap would be high level, with very simple and key information.
- would be great !
- currently we have an excel file with a roadmap which has to be created manually. This would be a great addition to improve communication with our stakeholders
- Requested by many clients and I'm sure people that are not using anything would start using it
- In the future program management, the client would like to be able to add custom steps not only ""planned"" ""new"" ""online"" ""done"", but also some step validation ""To be QA BY XX"" ""To be validated by YY""",Planned,Planned,14427046,No
Breakdowns/Filters: Allow labels for CD to be displayed,"## 📒 **Feature short description:** Describe what the feature does\. ``` Structure this as: [Feature] allows [target persona] to [accomplish a task] by [capability / the “how” of the feature]. ``` ## 😥 Problem **Problem statement:** What problem are we trying to solve with this feature? Or, what is the opportunity we are addressing? ``` Example: ""As a developer, when I want to do ..., I get the following problems."" ``` **Workaround:** - **Existing workaround:** Yes \/ No - **Workaround description:** If there is a workaround, explain how we can proceed to solve the problem today ## 💡 Solution **Key benefits**: What value does this feature bring to the user? ``` Answer the question, “What are the benefits for the end user?” as if you were talking to Customer Success. example: * benefit 1 * benefit 2 ``` **Use Cases:** Share use cases where this feature would help our users\. ``` Use the Jobs To Be Done framework to illustrate our user's motivation and behaviour. Structure this as: When the user [situation], they want to [motivation], so they can [expected outcome]. ``` **✏️ Product design:** - **Product package:** Web Experimentation \/ Full Stack Experimentation \/ Feature Management \/ AI\-driven Personalization *\(only keep the right answers\)* - **Product scope:** Product section and pages that will evolve \(if needed, define sections\/pages that will be out of scope\) - **Target Persona**: Which one of our target persona is going to benefit from this feature? \(Marketer \/ Developer \/ Product Manager\) - **Main updates:** In bullets, concisely describe what your solution consists of: - In page X, we add \.\.\. - On click, \.\.\. - Optionally, paste images of the solution here \(or paste Figma link\) ## 🎯 **Measuring Success** - **Goal 1:** indicate the goal of this topic - **Success metric:** indicate the key indicator of success that will measure the achievement of goal 1 ``` Copy and paste previous paragraph for each goal attached to this topic. Report to PDB Template - Slide 13 for examples ``` --- ## 📄 Attached documents - **Figma file**: optional \(paste link\) - **Spec file**: optional \(paste link\) - **Redmine ticket**: mandatory \(paste link\) - **Image:** mandatory, to illustrate the topic","

---
**User Feedback:**
- Name Mapping for Custom Data in Result Page Breakdown- Currently it is possible to use a Name Mapping in the Segment Builder, which is very useful - The Values of a Custom Data can be assigned with Labels - It would be nice if the labels can be displayed on the Results Page Breakdown/Filter - Currently we only have the Values there, but if the Labels could be displayed there, it would be much easier for analysis
- yes pleasssssse. Would be very helpful to clarify data values
- CD values are not always clear.
- to help the analysis
- Important
- pourrait être très utile
- Custom Data are a super tool it could be improved",Under Review,New idea,14427927,No
Automation API: Embbed all the indicators currently displayed on the RP,,"

---
**User Feedback:**
- Currently the Results endpoint for the Automation API returns conversion, converted visit, revenue, and converted visitor counts for the variation/goal. It would be great if the ""reliablity"" or ""statistical significance"" information was included that is available currently on the results page.",Under Review,New idea,14427973,Yes
