Title,Details,Status,Tags,Category
The info about the results of an experiment on dashboard,"Get the % up/down lift of tests (globally) within the dashboard, with period selection.Today is quite difficult to know exactly what are the benefits of testing (off course we know), but, could be good idea to have some kind of CRO lift from a period, on dashboard. This will help us convert our teams of testing interest. Experiments dashboard:The experiments are organised differently since Horizon which is great!However, it would be nice to add the info about the results of an experiment and the fiability index on the dashboard so the client does not have to open the results' page every time to check that. Or maybe give the possibility to the client to display the experiments in a list view or a grid view.",Open,,Roadmap
Alert when client change Traffic allocation (with active campaign),Traffic allocation: Many clients forget about our recommendation to don't change the traffic allocation from the moment the experiment is live and others want to do it anyway.The most natural way to do it is from the code editor. The idea is to change the logic of the reallocation from the code editor: 1. by default visitors stay bucketed in the same variation before and after reallocation;2. the client can use a checkbox (next to each variation and original) if they desire to allow the change of a visitor's variation (with this information in a tooltip),Complete,,Roadmap
"A confirmation request before ""stopping"" an experiment/personalization.","Add a confirmation request before stopping an experiment Add a confirmation request before ""stopping"" an experiment/personalization.(many clients wrongly stopped experiments)",Open,,Roadmap
When start a new Experiment prefill with URL website,"When start a new Experiment, an overlay appears:e.g. New developer A/B experiment:NameSiteURL of the page =&gt; in this case, please prefill with site URL.Why prefill? because as developer I want to start instant with a new experiment.What I am currently do:call page www.example.com =&gt; copy =&gt; paste in this fieldSo please prefill with siteURL, this siteURL is only for preview/simulation start, so if I need this, I will change it directly in test.ThanksbestChristoph",Open,,Roadmap
Save view goals,"Ability to rearrange the order of goals in the Finalize step, when setting up an experiment.The rearrange functionality we are looking for is needed before a test is published and launched and before you have access to the results page (where this can currently be done). We would like to be able to do this during our development and QA/validation steps and to my knowledge a Results page is only available as a view once the experiment is launched.I am specifically speaking about being able to do the goal rearranging in the Finalize step under Tracking and goals. Drag and drop or some similar ability would be great to have.This is currently available on other testing tools during the experiment setup phase.",Open,,Roadmap
"On Graphic editor set the default simulated view with variation before clicking on ""simulate""","Simulated variation:Add the possibility to set the default simulated variation before clicking on ""simulate""",Closed,,Roadmap
Data for Demo Environments,"# Problem/Context ## **Description** Building scripts to add fake data in demo accounts. **Key benefits** This can be used to have a demo account ready to be presented to prospects. ## Workaround No, except by using a customer account, which can't be considering as a workaround. ## **Project justification** **Project type** Operational improvement **Justification** For making demos. # Solution **Package** A/B Testing / Personalization **Scope** All app and the result page in particular **User roles** All **Design** NA # **Measuring Success** NA --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: mandatory (paste link)",Complete,Squad Dev Tools,Roadmap
RudderStack Destination Integration,"# Problem/Context ## **Description** Adding Kameleoon as a possible destination in RudderStack, which means that we will handle events coming from RudderStack just like we did with Segment. **RudderStack will send events to Kameleoon.** **Key benefits** Allow Kameleoon users to set targeting conditions based on RudderStack events. ## Workaround No ## **Project justification** **Project type** Requested capability **Justification** Wanted by *Jus Brasil*. # Solution **Package** A/B Testing / Personalization / Full stack **Scope** This includes the creation of a dedicated service that will handle RudderStack events. **User roles** All **Design** We will allow our users to choose Kameleoon as a destination in RudderStack. So the user will have to give RudderStack his Kameleoon credentials to push data in Kameleoon. # **Measuring Success** **Goal 1** Make sure that this integration is working, especially for Jus Brasil. --- # Attached documents **Spec file**: optional (paste link) **Redmine ticket**: mandatory (paste link) **Freshdesk ticket**:",Complete,Squad Dev Tools,Roadmap
Two-way integration with Amplitude,# Problem\/Context ## **Description** This is about creating an [Event Streaming Integration](https://www.docs.developers.amplitude.com/partners/event-streaming-integration-guide/) with Amplitude. Kameleoon will receive track events from Amplitude and create goals and goal conversions from these events. This is similar to what we already do with Segment.io. ## Workaround No. ## **Project justification** **Project type** New product concept or workflow **Justification** Amplitude customers could be interested in using their data in Kameleoon. # Solution **Package** A\/B Testing \/ Personalization **Scope** - **User roles** All **Design** To be defined. # **Measuring Success** To be defined. --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**:,Complete,Squad Dev Tools,Roadmap
Custom data page,"## Problem\/Context As a Bo user, I would like to have a clear overview of my existing custom data so I can easily create and manage my custom data Custom data is currently in a section available on a setting\/ advanced tool between Interest and Acquisition channels. Create a dedicated dashboard on Back-office will provide to the user a better views of their custom data. With specific card by items the user will manage custom data like segment : having detailed informations of the items and can easily do secondary actions \(delete, rename, duplicate\) or collective actions. ![](https://pb-files.s3.amazonaws.com/production/attachments/7cafa9640356273538f1ae2df6302d7405fd649142b9f21fbaf5b6acbd1efc41/Capture_d_ecran_2022-06-23_a_15.18.25.png) - **Existing workaround:** Yes - **Workaround Current access via custom data is a setting\/ advanced tool\/ custom data. Custom data is this currently a subsection not a whole page **Project justification:** - **Project type:** Full stack - **Justification:** The small section of custom data prevent the user to have a clear view of his items and manage easily them. - **User roles**: All **Design:** Steps of the solution: - On side bar menu on configure section, we can access on custom data - You have acces to a dedicated custom data dashboard, the sections: **I. Top area** - same creation \/ edition pop-ins than currently on the app - new search bar **II. Cards \/ List view with basic columns** - list view as for other pages - basic columns = index, website, modified, created, author. - Information overlay - secondary actions : rename, duplicate, delete, select \(collective actions\) **III. Basic filters** - basic filters = site, key dates, creator. ## **Measuring Success** - **Goal 1:** Engagement: allows the user to manage custom data with more freedom and with ease - **Success metric:** Number of complaints from user who cant manager their custom data\/ Satisfaction of customers with this feature \(work with consultants\) --- ##",Complete,Squad Interfaces,Roadmap
Project page redesign,"## Problem\/Context As I when I want to install a new site or project, I want correct and pertinent informations regarding of the type of installation I want to make This US includes : - A complete redesign of the project creation dashboard - User flow: creation of a new project - A migration of project dashboard from old code to new code - **Existing workaround:** Yes - **Workaround If yes, explain how we can today proceed to solve the problem **Project justification:** - **Project type:** Improvement to existing workflow - **Justification:** Improving the site installation user flow is mandatory to create a complete process for package server side client but without frustrating non technical clients ## Solution - **Product package:** All - **Product scope:** Admin\/site dashboard - **User roles**: All - A complete redesign of the project creation dashboard - User flow: creation of a new project - A migration of project dashboard from old code to new code ## Overall redesign: - Several enhancements have been made of this page : - Adapt the existing user flow with needs of package server side users - Create a dedicated page for global script installation - Put a side bar to have access to project options \(Installation, Configuration, Global script\) & project detailed informations at every moment - And lastly redesign of icons, site card and filter ## On project dashboard - For installation section: We have a more detailed step by step to install project\/site : - Step 1: Download the static Kameleoon cross tracking file - Step 2: Copy the kameleoon script - Ste 3: Paste the Kameleoon script ![](https://pb-files.s3.amazonaws.com/production/attachments/7d3de87b97f7438ec7e72d94a13d9826929ec6b6e17cf90d5049feae63b27672/image.png) For Configuration section : We have now a menu on top for those sections: general - experimentation - personalization - Audience \(PUT IMAGE\) Those sections are on the same page can navigate easily between thanks to a advanced menu bar ![](https://www.notion.so/image/https%25253A%25252F%25252Fs3-us-west-2.amazonaws.com%25252Fsecure.notion-static.com%25252F809a3742-5a1f-42dc-a387-566a41490051%25252FCapture_decran_2022-06-16_a_14.23.45.png?table=block&id=3de7b9d7-c63a-4a77-8ac3-90ba21541376&spaceId=500cbfaf-69be-4897-ab6e-d74a421585a9&width=2000&userId=f5b1bc45-6bb3-468f-8957-c1f5103d47a8&cache=v2) - For global script section : - A dedicated and full screen section was create to have a clear view of the script of installation. Before, we had a narrow section, the user couldnt read properly script lines of code ![](https://pb-files.s3.amazonaws.com/production/attachments/d81dddc2313f9332afba6e754d607d49e4ba7618d76f2164322461d791558c62/image.png) ## **Measuring Success** - **Goal 1:** Engagement - **Success metric:** Allow the user install easily a site or project on the Back-office - **Goal 2:** Satisfaction - **Design:** This US includes - **Success metric:** Create a adapted project installation access for package server side users --- ##",Planned,Squad Interfaces,Roadmap
"Reduce with UI,  latency time when selecting a new tag","In the dashboards, in the ""manage tag"" section, when selecting a new tag, there is a 3 sec latency before it is selected and highlighted. At least the UI response (the blue highlight) should be insantaneous because one may think this the feature is not working (it is the case for Eminza for example, they didn't use the tag feature because of it !)",Open,,Roadmap
Possibility to copy to clipboard the IDs and Names associated with a test,Provide the ability to copy to clipboard (or even send a mail similar to the integration file) the IDs and Names associated with a test. Ideally as an Object so Marketeers can send this Information to the developer. This is specifically useful for server-side experiments and is something Optimizely clients value greatly.,Open,,Roadmap
Share a public view on goals,"It would be great if we could share page view goals across two different site codes shared views :Once a view is created from filtering, you could share it with all or part of your team.This feature would be nice to have but above all would enable to highlight our speech about the fact that we are a ""collaborative tool""",Open,,Roadmap
Exclusive Campaign Targeting (SS Exp) - NodeJS,"Currently, this targeting condition is available for client-side experiments, but will be added to server-side experiments as well. Updates will be made to the NodeJS SDK to achieve this.",Complete,Squad FM&E,Roadmap
Snowflake Integration,"# Problem\/Context ## **Description** Allow our users to use their Kameleoon data \(all events\) in their Snowflake. # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**: - Snowflake Integration Snowflake - Use Snowflake as a source: # Problem\/Context ## **Description** Getting data from Snowflake using their SQL language in a request and using this data in Kameleoon, probably as a custom data. ## Workaround No ## **Project justification** **Project type** - Requested capability **Justification** Customer -\> Verbaudet ? # Solution **Package** A\/B Testing \/ Personalization \/ Full stack **Scope** - **User roles** All **Design** NA # **Measuring Success** *-* --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**: - Snowflake Integration Snowflake - Goal metrics: US #26042 - Snowflake - Goal metrics",Complete,Squad Dev Tools,Roadmap
Sample ratio mismatch - Definitive solution,We are exploring the addition of 'Sample ratio mismatch - Definitive solution' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Planned,Squad Data,Roadmap
Results pages - XLS Export migration,"Execute the 'Results pages - XLS Export migration' to ensure system stability, performance improvements, and access to new architecture.",Complete,Squad Data,Roadmap
Clickhouse Data Model migration,"Execute the 'Clickhouse Data Model migration' to ensure system stability, performance improvements, and access to new architecture.",Complete,Squad Data,Roadmap
Chrome Extension - Adding Element Set,"# Problem/Context ## **Description** Adding a view in the Chrome Extension where we can see all the elements settings including CSS selectors and if they are detected or not. ## Workaround No. ## **Project justification** **Project type** New product concept or workflow **Justification** Being able to see how elements are set is a very useful feature for debugging campaigns. # Solution **Package** A/B Testing / Personalization **Scope** Chrome Extension **User roles** All **Design** ![](https://pb-files.s3.amazonaws.com/production/attachments/f8ad3f9e137bf331505dcfed48e7da109905f88c18fc08b6ec049e9ecdfaac5a/element-set-design.png) # **Measuring Success** Classic click tracking to see if the feature is used. --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: mandatory (paste link) Kameleoon Extension - Element Set - V1 - Colored blocks: # Internal Release Note # Problem/Context ## **Description** As a user, I want to be able to use the Chrome extension to see all the selectors of the elements settings attached to my experiments. ## Workaround No. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # Solution **Package** A/B Testing **Scope** Chrome Extension **User roles** All **Design** No design. # **Measuring Success** *To be defined.* --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: Kameleoon Extension - Element Set - V3 - On hover interaction: # Problem/Context ## **Description** As a user of the Chrome Extension, I want to be able to see the corresponding elements (selectors with status) attached to my experiments in the page. ## Workaround No. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # Solution **Package** A/B Testing **Scope** Chrome Extension **User roles** All **Design** No design. # **Measuring Success** *To be defined.* --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:[ ](https://project.kameleoon.net/issues/17131) Kameleoon Extension - Element Set - V4 - Block selection: I reject this, because I found a better way to implement it. # Problem/Context ## **Description** As a user of the Chrome Extension, I want to be able to select one or more blocks of element to see the corresponding element in the page in the page without having to have the cursor on a block (on hover). ## Workaround No. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # Solution **Package** A/B Testing **Scope** Chrome Extension **User roles** All **Design** No design. # **Measuring Success** *To be defined.* --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:[ ](https://project.kameleoon.net/issues/17072) Kameleoon Extension - Element Set - V2 - Update list: # Internal Release Note # Problem/Context ## **Description** As a user of the Chrome Extension, I want elements (selectors with status) attached to my experiments to be updated every 3 seconds. ## Workaround No. ## **Project justification** **Project type** - Requested capability **Justification** *Requested by our teams.* # Solution **Package** A/B Testing **Scope** Chrome Extension **User roles** All **Design** No design. # **Measuring Success** *To be defined.* --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: Elements Action buttons - Show/hide target element button: # Problem/Context ## **Description** The goal is to allow the user to show or hide the green target rectangle (displayed over an element on the page). ## Workaround Yes/No? If yes, explain how we can today proceed to solve the problem ## **Project justification** **Project type** - New product concept or workflow **Justification** *-* # Solution **Package** A/B Testing / Personalization **Scope** Chrome Extension **User roles** - **Design** Explained in ticket. # **Measuring Success** **Goal** *Click tracking with mixpanel* --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: Elements Action buttons - Copy button: # Problem/Context ## **Description** The goal is to allow the user to copy the selector by clicking on a button. ## Workaround Yes/No? If yes, explain how we can today proceed to solve the problem ## **Project justification** **Project type** - New product concept or workflow **Justification** *-* # Solution **Package** A/B Testing / Personalization **Scope** Chrome Extension **User roles** - **Design** Explained in ticket. # **Measuring Success** **Goal** *Click tracking with mixpanel* --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: [ ](https://project.kameleoon.net/issues/17500)",Complete,Squad Dev Tools,Roadmap
Hybrid Capability: 3P Analytics Tools,"## **Feature short Allows users to use integrations with 3P Analytics platforms \(e.g. Mixpanel, GA...\) and export results of delivery and experiment rules to analyze outside Kameleoon. ## Problem Today, Hybrid capabilities don't extend to FME and is a deal-breaker for customers whose users are already using an analytics platform and would like to keep reporting streamlined within it. **Workaround:** - **Existing workaround:** No ## Solution **Key benefits** : - With hybrid experimentation, developers do not need to configure code for analytics tracking or set up third-party integrations. Once the PM configures the feature experiment or delivery rule, anyone can iterate on and analyze it. Analysts or PMs can activate data derived from the feature flag with relying on the developer. - Customers can continue to use their preferred analytics tools without any breaks in the UX. - For cost-saving flexibility, users can customize **per flag** whether to track delivery rules, experiments, or both. - Absolutely market-competitive feature ![](https://pb-files.s3.amazonaws.com/production/attachments/6350f1c1437e9b777a1f2e918dc0eed4281ba2d760e134a23e47cb954f8c66fa/image.png) ** Product design:** - **Product package:** Feature Management & Experimentation - **Product scope:** Rollout Planner \(but affects entire FME offering\) - **Target Persona**: PM, Developer, Analyst - **Main updates:** - An additional menu item under the **Reporting** section - On clicking, user sees all of the \(globally\) existing integrations associated with the account - Optionally, users can toggle whether to track data for delivery rules, experiment rules, or both ## **Measuring Success** - **Goal 1:** Get more integration facilitation for fullstack customers - **Success metric:** Number of integrations used \/ flag --- ##",Complete,Squad FM&E,Roadmap
Generate a goal which will be triggered only on Targeting,Feature Requesttestspecific goal - nativein Kameleoon BOhttps://docs.google.com/presentation/d/1vwLoVEf1hPsVxvTT-mmAlrhNBuaYu0U5/edit?usp=sharing&amp;ouid=105060729385659832879&amp;rtpof=true&amp;sd=true,Open,,Roadmap
graphic editor insert an HTML-coder as a new element,"We would like the possibility to directly insert an HTML-code in the graphic editor as a new element. Be able to create an HTML block (same way as we offer the possibility to create a paragraph for example) in the graphic editor. Graphic editor is generally for Marketing people so they do not how to code with JS, therefore it would be really helpful to give them the possibility to create HTML block. In the graphic editor, allow to use also 'em' and 'rem' for margins and paddings.Also for text size and line-height it would be good to enable the use of 'rem' - as 'em' is already an option here. Context:In the graphic editor, when inserting a paragraph, the paragraph has many default HTML/CSS parameters (margin, padding, background color,...) visible in the console in order to be visible to the visitor all the time following its creation (in popin mode).Need1:For paragraph insertions (to be renamed to Text/html?!) and images, give the possibility to the client to say if it's on top of the site or in the site (like in the personal)In case of selection of ""in the site"", ask the visitor to indicate the place where to insert the text/html (as currently in the perso)Need 2 : (to be done after or at the same time as Need 1)Remove the CSS added when inserting a block ""in the site"". In the graphical editor, be able to add HTML/CSS in the page not via a paragraph. Easily position it in the page.The paragraph comes with hidden CSS rules which makes it difficult for the client to edit. Be able to add my own CSS class on widget graphical editor elements.For example, I have my class ""primary-button"" and my class ""secondary-button""Instead of copy/pasting CSS rules for those, I would like to add the class from my website for a specific input.",Open,,Roadmap
creation paragraph element enhancement in the graphic editor,"Be able to use rich text in an text field in the same paragraph in the widget graphical editor.(Colors, List item, numbered list item)Be able to use their own font (without using CSS) When inserting a new paragraph element in the graphic editor, don't attach predefined styling to it. Need 1/3:For paragraph and image insertions, give the client the possibility to say if it is above the site or in the site (as in the personal)In case of selection of ""in the site"", ask the visitor to indicate the place where to insert the text/html (as currently in the perso) Need 2/3: (to be done after or at the same time as Need 1) Delete the CSS added when inserting a block ""in the site"".",Open,,Roadmap
Crazy Egg - Snapshot feature integration,"# Problem/Context ## **Description** Crazy Egg has a [snapshot feature](https://www.crazyegg.com/snapshots). This integration is about allowing user to easily use their Crazy Egg snapshot with their Kameleoon campaigns. ## Workaround No ## **Project justification** **Project type** - Requested capability - New product concept or workflow **Justification** Crazy Egg has requested it, and they already have [the same integration with Optimizely](https://support.crazyegg.com/hc/en-us/articles/1500000935762-Optimizely-Integration). # Solution **Package** A/B Testing / Personalization **Scope** To be defined **User roles** All **Design** To be defined # **Measuring Success** *To be defined* --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: mandatory (paste link) Add an integration with the snapshot feature of crazy egg. https://www.crazyegg.com/snapshotsA lot of client use this snapshot feature but at the moment it require to add a specific code to the test or the variation : At the moment this code needs to be added manually but it would bring great value if we could update the bridge with crazy egg and provide a no code option for this. Crazy egg would be happy to work with us on this and would then be willing to comunicate about us to the clients.",Complete,Squad Dev Tools,Roadmap
track the exit rate of my visitors on specific URLs,"As a user, I want to track the exit rate of my visitors on specific URLs as it is a very important indicator for my AB test performance",Open,,Roadmap
Multivariate Tests Support on SDKs,"# Problem/Context ## **Description** As a developer, I want to use SDKs to create MVTs (multivariate tests). ## Workaround No, except hard coded handler. ## **Project justification** **Project type** - Requested capability **Justification** This will allow the developers using Kameleoon to make them engage more with the SDKs since they can build MVTs. # Solution **Package** Full stack **Scope** SDKs libraries **User roles** Technical **Design** To be defined # **Measuring Success** To be defined --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: mandatory (paste link) Multivariate Test for SDKs",Open,Squad Dev Tools,Roadmap
Image library in Code Editor,"# Problem/Context ## **Description** As a developer, I want to use images in the code editor, in particular : - Uploading images in the image library from my computer from the code editor page - Using images that are in the library in the code section (generated URL) ## Workaround No. ## **Project justification** **Project type** - Requested capability **Justification** Requested by our customer **L'Equipe** (insight from Sacha Warin). # Solution **Package** A/B Testing **Scope** Code Editor **User roles** All **Design** To be defined. Here what the pop-up from the Graphic Editor looks like: ![](https://pb-files.s3.amazonaws.com/production/attachments/63c03c8a0cfa9a41d3a90003ec59aa9a64eb63a448a89e2e144e67171965528f/image.png) # **Measuring Success** **Goal 1** Measuring the use of the library from the code editor. - Number of customer using the image library from the code editor - Number of clicks related to the image library from the code editor --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**: mandatory (paste link) Would it be possible to access the picture library via the code editor directly ? Or to have an access to this library from the Back-office dashboard ?",Open,Squad Dev Tools,Roadmap
Administration Redesign : SSO Google,"# Problem/Context ## **Description** Internal administrators should login to administration app via SSO Google. Integration is now possible via Gravitee SSO. We will define groups in google, full admin and admin, these groups will be passed in the SSO response. - For internal admin app : We can directly login via Google SSO. - For admin access to app : Once logged in via SSO we can show a page to enter the client's email and then check the rights and redirect to app =\> This is more complex to do, so could be done later, once the SSO for admin app is working well. ## Workaround No ## **Project justification** **Project type** - Operational improvement - Risk mitigation **Justification** Google will allow users to use the Multifactor authentication. It reduces the rick of piracy. # Solution **Package** *-* **Scope** Back-office Admin **User roles** Users of Back-office Admin **Design** To be defined. # **Measuring Success** *NA* --- # Attached documents **Figma file**: optional (paste link) **Spec file**: optional (paste link) **Redmine ticket**:[ ](http://project.kameleoon.net//issues/16974)",Complete,Squad Dev Tools,Roadmap
Project page - lot 1- step 2,"## Problem/Context Describe the problem you are trying to solve. As a user of Back-office client kameleoon when I want consult informations of a website/project I want to have overall informations in order to take decisions quickly - **Existing workaround:** Yes - **Workaround Informations of a specific site are dispatched between several dashboard in the Back-office **Project justification:** - **Project type:** Improvement to existing workflow - **Justification:** It is very difficult to have a overview of a project/site activity, The dashboard enhancement has good advantage to user who want to know exactly in one glimpse what campaigns was created for one site ## Solution - **Product package:** All - **Product scope:** Site dashboard - **User roles**: All - **Design:** The goal is to have a better orveview of activity on my site/project and have access to general informations and CTA in the same dashboard This US is composed of : - a new page for sites and project (a king of welcoming screen) to get a clear view on the state of the site/projects - additional enhancements of installation flow for the client-side offer only (after lot 1) - a dedicated page for the global script, with ability to simulate it - a dedicated page for legal consent - a dedicated page for the other configuration On the right side of site dashboard we will have a right side bar with all those new categories of pages on it ## **Measuring Success** - **Goal 1:** Engagement - **Success metric:** Allow the user install easily a site or project on the Back-office - **Goal 2:** Satisfaction - **Success metric:** Create a adapted project installation access for package client side & server side users --- ##",Planned,Squad Interfaces,Roadmap
"Collective actions - goals & segments - Lot 1 : activate, disable, manage tags, export, delete","## Problem/Context As a Back-office user, I would like to make multiple selection of segments or goals, in order to apply actions to all elements at the same time *Improve the select all behaviour available on our Goals & Segments pages. Currently, only the elements displayed in frontend are selected. The enhancement will enable to select all elements from backend / in database. Finally, users will save time by applying an action to multiple items at once.* -------- - **Existing workaround:** Yes - **Workaround You can select all elements displayed on the front (around 20), and repeat the action until all elements selected **Project justification:** - **Project type:** Requested capability (existing customers or prospects) - **Justification:** Critical request from 2021 in productboard > FDJ Insights (brought up by CS team): > > ""FDJ wanted an extract of all the goals but only 20 stand out"" ## Solution - **Product package:** Full stack - **Product scope:** On the Back-office segment dashboard , On the Back-office goals dashboard - **User roles**: All - **Design:** Steps of the solution - We can access on goal dashboard or segment dashboard - On the right side of each element, there is a 3 dots button - On click, we have access to a checkbox and several options - We can do one of the actions, on all goals/segments selected (goal: activate, disable, manage tags, export, delete / segment: manage tags, export, delete) - We can make the selection: individually, for several items, or for all items (not only in the front) ## **Measuring Success** - **Goal 1:** satisfaction/ allows user to select all information as indicated on the actions select all - **Success metric:** Satisfaction of customers with this feature (work with consultants) --- ##",Complete,Squad Interfaces,Roadmap
Rollout Planner v2,"To be updated **v2** is our major upcoming update that will change both, the user experience as well as the backend workings of how the rollout planner works. Variation creation & management: New variable management: New layout and nesting of left sidebar: Concurrent segments : Manual targeting toggle : Rule start/stop scheduling: Draggable rule cards to change order of priority : Product tour - Appcues readiness: New overlay (right menu) design: New rule card design:",Complete,Squad FM&E,Roadmap
Goal creation /switch the Selector over the displayed page,"problem in GOALS =&gt; Click goal (new)Customer having problems to scroll down to selector. They can't see it, because there is the hugh page where customer can select an elementImprovement: please switch the Selector over the displayed page.So customers could fill in it manually and they see that important (chosen) selector directly on top.",Open,,Roadmap
Timeline / the option to edit your changes,"Please add the option to edit your changes. Currently it is only possible to view the history of changes that have been made. However, it would be very convenient to also be able to edit them, for instance how this is organized within Google Optimize. Now you constantly make a new change, rather than one big one.",Open,,Roadmap
Package Server-Side lot 2,"## Problem\/Context - As a FME or Hybrid package user, I want to have access to a Back-office client wich fits with my needs - **Existing workaround:** Yes - **Workaround Existing solution, not using options and parameters not related to the current package **Project justification:** - **Project type:** Improvement to existing workflow - **Justification:** User expected to have only parameter useful to fulfill his task and linked to his current package. For example, Personnalisation campaigns creation doesn't include non useful feature flag element. This indicator can be measured on mixpanel \( Analyse if the client click on non necessary elements for his campaign \). This US is also necessary to prevent upgrade and downgrade of campaigns. ## Solution - **Product package:** Full stack - **Product scope:** Product section and pages that will evolve \(on the contrary, you can specify what is out of scope\) - **User roles**: all - **Design:** After a full diagnostic, adaptations on what it displays according the to package will be made. Elements will be deleted Element will be shedded Element will switch to optional - Those changes will be on - Installation project page - New experiment project page - Experiment dashboard - Advanced tool dashboard - SDK code editor finalize panel - Hybrid code editor panel ## **Measuring Success** - **Goal 1:** Satisfaction - Provide a dedicated Back-office according to the user needs will reduce friction in the user flow and make a smoother experience - **Success metric 1:** NB of experiments \(SDK and hybrid\) created for server side clients - **Success metric 2 :** NB of subscription to Fullstack only package ##",Planned,Squad Interfaces,Roadmap
Graphic editor: Possibility to edit elements on a submenu,"idea: Add switch nav\ edition short cut to access to sub menu Sur le WYSIWYG de l'AB testing, il arrive que nous nous puissions pas accéder à certains sous-menu (qui n'apparaissent que au hover ou disparaisse au clic sur un élément externe). Ainsi, sur le site SOMFY, il n'est pas possible d'utiliser le WYSIWYG sur le menu de navigation car le passage du menu navigation à édition fait disparaitre le volet.Idée : Ajouter un raccourci clavier pour le switch nav&lt;&gt;edition pour ne plus à avoir à cliquer sur CTA ni quitter l'élément avec la sourie from fabriceGraphic editor current limitation: Not possible to apply changes on a sub-menu that displays when clicked: To display the menu, one need to be in navigation mode and clic on the menu; and then, when switching to editing mode, the menu is not displayed anymore.Example on this site : https://www.somfy-group.com/fr-fr/Idea for improvement: Switch from navigation mode to editing mode through a keyboard shortcuts that freezees what's currently displayed on the page",Complete,,Roadmap
Be able to select an action based on a custom data value,Be able to select an action based on a custom data value.Exemple:popin_closed = trueshow the small badge,Open,,Roadmap
JS script code section bigger,"Now that the experiments code editor is looking great, it would be nice to be able to hide the left panel so the JS script will be wider and have more space.",Open,,Roadmap
Click tracking goal creation in GE2,"Recap: Click tracking: Request a CSS selector only when creating a click tracking goal This user story include 3 Insights of consultant team: -enhancement of selector CSS -give option to select wich URL will be include in the retention rate -Hide the gray screen when the website is not allowed to accept Iframe Need 1: When creating a click tracking goal, ask if you want to create : With a CSS selector With a selection of an element from an ""example"" page Remember that the CSS selector concerns the whole site (and not just the page displayed) Need 2:In some cases, a client may want a click tracking configuration from a particular page/type of page.Give the visitor the possibility to determine the URL(s) for which conversion is to be included (and only those URLs):Exact URLURL containsREGEXP URL Need 3: Do not display a grey screen page when the site does not allow iframe. I'd like to create a click tracking via the Back-office (without using the graphic editor) on an element that does not have the same selector on mobile &amp; desktop.Impossible to select the element in the mobile version after having selected the element on desktop. Hello product team!Could we please include again the tracking feature within the new graphical editor, please? Clients are getting annoyed...and could even churn for that reason :/(many clients are asking for it: rossel, libération foussier, etc.)Thanks! Pain Point: In the old editor, it was possible to create clickgoals directly in the graphical editor. The graphical editor in the Goal section doesn't have all the functions and offers a small screen in the overlay to work graphically in a meaningful way.As a workaround I have to find my selector from the browser console and copy it into the Goal overlay. Everything else rarely works well. This process typically happens several times because trial and error is necessary. Solution: bring back the goal creation function to the new GE",Complete,,Roadmap
Traffic reallocation option on Code Editor,"# Problem/Context ## **Description** As a developer, I want to do be able to use the traffic reallocation option directly from the Code Editor. - **Existing workaround:** Yes - **Workaround Traffic reallocation is available on the [Graphic Editor](https://help.kameleoon.com/set-up-and-launch-classic-ab-experiment/#6). ## **Project justification** - **Project type:** Requested capability - **Justification:** See insights # Solution - **Product package:** A/B Testing - Developer Editor - **Product scope:** Code Editor page (example : [https://app.kameleoon.com/experiments/codeEditor/**[id]](https://app.kameleoon.com/experiments/codeEditor/**%5Bid%5D)** ) - **User roles**: All - **Design:** Explain with bullet points what your solution consists in (make it synthetic) - In Code Editor page, in the **Traffic allocation** pop-up, we will add the traffic reallocation option, just like it is in the Graphic Editor - ![](https://pb-files.s3.amazonaws.com/production/attachments/f7925a642697f7431a961c93581cc5ce61d7621d4e270edc15971a6de0457a61/image.png) # **Measuring Success** - **Goal 1:** Exploring the reallocation option on the Code Editor - **Success metric:** Number of clicks on the *Traffic reallocation* button - **Goal 2:** Use of Traffic reallocation on code-based experiments - **Success metric:** Number of code-based experiments using the traffic reallocation option --- #",Closed,Squad Dev Tools,Roadmap
