Title,Details,Status,Tags,Category,StateTag
Custom view New results page,"Following our call this morning, here are two ideas that could be implemented regarding the custom view feature (new results page)
Duplicate views: Once I create a view (let's say smartphone + Bayesian), it would be nice to be able to reuse this view for all results pages.I'm thinking about clients not using Frequentist at all for example
Pre-defined views: allow users to have access to pre-defined views (mobile first / returning visitors) based on most used filtres/breakdowns used by our clients
--
Marie LemaireSenior Customer Success ManagerTel. +33 6 76 78 26 58www.kameleoon.com4th Floor, 95 Gresham StreetLondon, EC2V 7AB",Open,"Ex owner: Calixthe Mattei, Q1 2025, App System, Unprocessed",Build,Unprocessed
CustomData selection in the segment builder,"The custom data selection in the segment builder could be improved.
Suggestions are appreciated, but I believe that they should be included in 'is among the values' instead of 'contains'.
Moreover it should be possible to select several values (different page types, for example, or a list of productIDs).",Open,"_⭐ App System Squad, 🙂 Interface squad, Ex owner: Mallaury Gruget, Q4 2023, Unprocessed",General,Unprocessed
Customer Feedback VNR experiencing performance problems time,"Customer Feedback (VNR): ""We have been experiencing performance problems from time to time for 1-2 weeks, which last for a short time and then sometimes disappear again after 10-20 minutes.
I find it very difficult to categorize our individual problems with the official error messages. On July 10, for example, we had problems of various kinds from 10 am to 2 pm. One colleague couldn't get into the system at 10 a.m., but another colleague could. I was also able to access the system the whole time, but suddenly at around 1:30 p.m. I could no longer call up a test, but received an “oops, something went wrong” message. On that day I only got a rough explanation that problems with BO occurred.""
Sometimes there is no error /downtime notification, but customer gets several “Oops” messages when trying to call up individual tests in the dashboard. Despite incognito mode, there are currently considerable loading times that did not exist a few weeks ago. Sometimes the loading time is between 4-5 minutes. But as mentioned, no bug report visible.
Customer would like to have a more detailed bug report, where they can see what exactly was content from that bug and what might have been another problem, that they need to get fixes individually.",Open,"new idea, important, Ex owner: nan, Q3 2024, App System, Unprocessed",Build,Unprocessed
Customer Grain Malice like able retrieve heatranges,My customer Grain de Malice would like to be able to retrieve the IA heatranges in Piano,Open,"_⭐ Integrations Squad, new idea, nice to have, Ex owner: Isabelle Ung, Q2 2025, Integrations, Processed",Set up,Processed
Customer Printemps like add tick box back-office,"my customer Printemps would like us to add a tick box in the back-office, in the project configuration part, which would make it possible to automatically link all the tests with their analytics tool (CS and GA4), without having to do it manually for each test",Open,"_⭐ Integrations Squad, new idea, nice to have, Ex owner: Isabelle Ung, Q3 2025, Start & Admin, Processed",Set up,Processed
Customer Survey,"The customer suggests a larger display in the mobile preview.

---

The customer suggests: The option to save templates for segments or to duplicate an existing segment and then customize it, as you often need similar segments for different projects.

---

Customer suggests: Simplified handling of overlay library. Simple popups that can be set up and played quickly and easily in multiple languages.

---

Customer suggests: In addition to the detailed customization options in the tool, a simplified Quick-Fix version that can also be used quickly by untrained employees.

---

Customer suggests: In the report the ability to write notes so that everyone who looks at the results sees all relevant information directly and not just in separate ppts or similar.

---

Customer suggests: Targeting based on click on a personalization instead of only on participation in a personalization (= campaign seen) as before

---

Customer suggests: No separate tests for different languages

---

Customer suggests: The ability to attach HTML code directly to certain CSS selectors without having to use the element picker in the Graphic Editor.

---

Customer suggests: Setting the default view for evaluations to visitor instead of visits.

---

Customer suggests: Showing all goals expanded by default. Alternatively, remember the state of the expanded goals or a “Expand all” button.",Open,"🇩🇪 GER, Ex owner: Lily from Kameleoon, Q2 2025, _⭐ App System Squad, Ex owner: Loreena, App System, Ex owner: nan, Ex owner: Calixthe Mattei, Data & Governance, Tech & Perso Builders, _⭐ Campaign Creation Squad, Ex owner: Ivan Kulagin, Unprocessed",General,Unprocessed
Customer Triumph said,"My Customer Triumph said:
Would be beneficial to expand Sroll goal type with advanced configuration option or just add new goal type “Visibility” with similar functionality as per “Element Visibility” in GTM (where you can set present of the element visible, …:",Open,"new idea, nice to have, Ex owner: Calixthe Mattei, Q1 2025, Unprocessed",General,Unprocessed
Customer comme mutuelle codes some personalization inserts,"My customer M comme mutuelle codes some personalization, and when he inserts JS code that is not correct, he can't launch the personalization but has no error message informing him about the problem
He suggested a small pop in informing if the JS code is not correct",Open,"_⭐ Campaign Creation Squad, new idea, nice to have, Ex owner: Ivan Kulagin, Q2 2025, Tech & Perso Builders, Processed",Build,Processed
Customer feedback regarding wording Kameleoon Focus code,"Here is a customer feedback regarding the wording in Kameleoon BO - Focus code editor :
1. "" Edit "" is not clear --> Why don't we use ""Save"" ?
We are not editing anymore, so it would be smarter to change the wording to ""save"" as this is what we are doing : saving an update.
2. When we update a segment, the CTA are not clear as well. "" Cancel "" / "" edit "" / ""duplicate"" --> What does it mean? If I click on ""edit"", will it edit the segment in each campaign I'm using it? If I duplicate it, am I going to keep the duplicate version? Should I change its name? etc.
3. The flow is not OK. In the finalize part, if I want to update my traffic allocation or any other step, I have two buttons "" Validate "" and "" Continue "" --> What is the difference ? Why do we have both ? If two buttons, we need to understand the meaning behind them. We could say for instance : "" Save the trafic allocation "" and "" Next step "".  Something with more meaning.
4. When we validate a step, the button ""update"" stays grey --> we need to check each step to enable to button and be able to click and save our updates.
5. Last "" Save and exit "" --> Why ? Wy is it so small ? Why is there this button while you have a big green ""update button"" ?
It would be a really great idea to review the wording on Kameleoon as some are unclear.",Open,"new idea, important, Ex owner: Tribe Marketers, Q3 2023, Tech & Perso Builders, Unprocessed",Build,Unprocessed
Customer like revenue goals different currency same,"The customer would like to have revenue goals in different currency on the same account.
It is confusing to see the £ sign when we convert a goal in USD. We currently have a custom data, but it would be great to be able to push a currency on the goal.
It will help in the analysis.",Open,"new idea, important, Ex owner: Calixthe Mattei, Q1 2024, Processed",General,Processed
Customer possibility exclude Withelist entire sitecode,"For customer, possibility to exclude IP (Withelist) from a entire sitecode. Currently client can exclude IP from an AB or Perso in targetting with specific criteria existing. But he can't exclude one or several IP(s) from all experiences at the same time.
Option is only possible in back-office admin Kameleoon and could be activate by TAM, CSM etc...",Open,"🙂 Interface squad, new idea, important, Ex owner: nan, Q2 2022, Start & Admin, Unprocessed",Set up,Unprocessed
Customer printemps like alert appear back-office configuration,"Hi my customer printemps would like an alert to appear in the back-office, within the configuration page, when 2 pop ins created by kameleoon may be displayed at the same time and for the same visitors",Open,"new idea, nice to have, Ex owner: nan, Q3 2025, Unprocessed",General,Unprocessed
Customer pro pro often creates experiments which,"Hello, my customer pro a pro often creates experiments with the EG in which she adds pictures on desktop and mobile (pictures different on bith devices) and redirection links associated to these pictures: it's very fastidious to  add different images on different devices, even using the ""custom per device"" option, it often bugs. And moreover it would more practical to be able to add a link at the same time as an image, not separatey",Open,"new idea, important, Ex owner: Ivan Kulagin, Q3 2025, Start & Admin, Unprocessed",Set up,Unprocessed
Customer wanted resize simulation panel because few,"Our customer wanted to resize the simulation panel because they've a few experiments in their pipeline and live and to see all those at once they tried to drag the upper line a bit to enlarge the list of experiments on the page. But the only thing we can do is to open and close the panel. But sometimes it would help to change the size like the dev tool bar of the browser which can be resized too.
Second thing was to activate and deactivate all experiments of the current page at once to better test the simulation of the current experiment draft without collisions of other testings.",Open,"_⭐ Admin & Engine Squad, new idea, nice to have, Ex owner: Yassin Hassan, Q2 2024, Core Techno, Processed",Set up,Processed
Customers Bonsoirs BPCEUsing graphical editor able edit/change,"Customers: Bonsoirs, BPCEUsing the graphical editor, be able to edit/change images that have multiple SRC SETexample: BPCE                         Bonsoirs:",Open,"_⭐ Campaign Creation Squad, new idea, critical, Ex owner: Mallaury Gruget, Q1 2024, Processed",General,Processed
Customizable Session Timeout Duration,"I seem to somehow get logged out from Kameleoon daily, sometimes even more than once a day.  I'm in there all the time, I should be able to maintain a near constant state of being logged in due to my activity and yet it doesn't seem to work that way.  If I could set it to something like 5 days of timeout time, that'd let me stay logged in all week!",Open,"Aggregated Topic, Ex owner: Yassin Hassan, _⭐ Admin & Engine Squad, Q2 2025, Core Techno, Processed",Set up,Processed
Customization save display settings on result page,"Pain Point: As a user, I often create experiments without an original. So I don't allocate traffic to the original. In such cases I (have to) customize the result page via Actions > custom views. I select a different variation as reference and hide the original:
    So that I don't have to do these steps every time I open the result page, I save this custom view directly as a predefined view. The problem is that at this moment I not only save my two customizations, but also the date ranges (and other values that I have not edited). Now I can use the predefined view on following days and save the custom view adjustments. At the same time the date remains on the ‘edit date’ and doesn't correspond to the current date. So now I have to change the date.      The user manual listed several values which are saved with the click on ""Validate"" no matter if the user edit it: Filters; Date ranges; Columns of the tables; View per goal/per variation; Reference variation; Display of the goal(s). https://help.kameleoon.com/experiments-results-actions/#Save_the_current_settings  Solution:  Would be great if only edited values are saved OR the user can select which values he would like to save.",Open,"🇩🇪 GER, _⭐ Reporting Squad, Ex owner: Calixthe Mattei, Q3 2024, Data & Governance, Processed",Analyze,Processed
Customize Results page layout,"could be nice

---

Nice

---

Personalize my view is a great feature",Open,"Aggregated Topic, Ex owner: Tribe Marketers, Q4 2022, Data & Governance, Unprocessed",Analyze,Unprocessed
Customize charts and tables,Nice,Open,"Aggregated Topic, Ex owner: Tribe Marketers, Q4 2022, Processed",General,Processed
Customize media queries,more capabilities for people to configure Kameleoon according to their website constraints,Open,"Aggregated Topic, Ex owner: Lily from Kameleoon, Q4 2024, Processed",General,Processed
Customized time interval MAB option,"Customized time interval for the MAB option:
Pain Point:
- there is a global time interval of 8h
- As a client with low traffic, I don't always achieve the 100 visits and 20 conversions in the winning variant (perhaps I would have needed 11 hours). In such cases, no adjustment happens. => my opportunity costs increase
- As a high-traffic client, I reach the 100 visits and 20 conversions in the winning variant much faster than in 8 hours (e.g. in 1 hour). In such cases, the adjustment still only happens every 8 hours. => my opportunity costs increase
- As a client with a content business model, I have a lot of traffic, no time for long test periods (because the articles quickly lose their relevance) and want to test teasers or headlines with a primary click target. The 100 visits and 20 conversions in the winning variant are achieved much faster than in 8 hours (e.g. in 0.1 hours). In such cases, the adjustment still only happens every 8 hours. => my opportunity costs increase
Solution:
- Individual client setting: I can set a time interval for my account that applies to all projects and experiments.
- Project individual setting: I can set a time interval for my projects that applies to all experiments in the respective project. (see Perso control group)
- Experiment individual setting: I can set a time interval for my experiments that only applies to the individual experiment. (see MBA option itself)",Open,"_⭐ Reporting Squad, new idea, important, Ex owner: Calixthe Mattei, Q4 2023, Data & Governance, Processed",Analyze,Processed
DWH Databricks Integration,Its a must for the future of the Experimentation within the Organization,Open,"Aggregated Topic, Ex owner: Yassin Hassan, _⭐ Integrations Squad, Q1 2025, Integrations, Processed",Set up,Processed
Dans dashboard des A/B perso afficher dans,"Dans le dashboard des A/B, perso --> afficher dans le tooltip au hover les plannings ""date début"" / ""date de fin"" et les heurs ?",Open,"_⭐ App System Squad, new idea, nice to have, Ex owner: Loreena, Q3 2025, App System, Unprocessed",Build,Unprocessed
Dans les crit res filtre permettre utilisateur,"Dans les critères de filtre permettre à l'utilisateur de sélectionner tous les filtres en même temps (pour en exclure certains plus facilement)
Par exemple status :
- online
- diverted
- draft
- stopped
- paused
Il faut les sélectionner 1 à 1 donc si je veux par exemple exclure les drafts je dois sélectionner tous les autres sauf draft...",Open,"new idea, nice to have, Ex owner: Tribe Marketers, Q3 2021, Processed",General,Processed
Dans une perso Avoir possibilit dans section,"Dans une perso : Avoir la possibilité dans la section ""Par Dessus la page"" de pouvoir mettre du ""JS/CSS""
Comme c'est le cas ajd côté ""Dans le contenu de la page""
--> Si pas de complexité technique ça pourrait aider à être plus clair pour le client et certainement aussi à contourner certains bugs comme on a ajd avec le ""INSIDE"" + Selecteur CSS qui devient ""null""",Open,"_⭐ App System Squad, new idea, nice to have, Ex owner: Ivan Kulagin, Q2 2025, Processed",General,Processed
Dans widget studio faudrait que police charg,"Dans le widget studio, il faudrait que la police chargée depuis le site du client soit directement appliquée pour permettre la finalisation du design.
Aujourd'hui nous avons le nom de la police mais elle est changée uniquement après upload du widget dans l'expérience. Nous devons donc refaire des modifications par la suite.",Open,"new idea, critical, Ex owner: Lily from Kameleoon, Q3 2024, Visual Builders, Processed",Build,Processed
Dark theme for the app,yes!,Open,"Aggregated Topic, Ex owner: Loreena, _⭐ App System Squad, Q4 2025, Processed",General,Processed
Dashboard,"For an Enterprises it is critical to analyse total result for the experiments on a monthly/quarterly/yearly basis, for now client have to create a pivot table with all experiments. We need a dashboard with summary data for all launched experiments: 1)  Impact on key metric with a breakdown: WE, FF, Perso. We need to have an opportunity see the impact on the conversion (it would be working for Banks) and revenue (as we have on Audience). Also it would be nice to add more than one key metric. 2) Total amount of the experiments per period, how many has the result by primary goal, how much doesn't, how many users were on the experiment, total CR for a wining Variation and reliability. We could also add the most successful test per period.  This 2 points is critical for a TOP management to evaluate team performance. 3) The amount of test live and the segments are using on this tests (will help identify intersections and also mark free segments). 4) It would be great to have an ability to manage/filter the data by tag/time or product (for example by key metric)",Open,"_⭐ App System Squad, _⭐ Reporting Squad, Ex owner: Ekaterina Lyubichenko, Q2 2024, App System, Processed",Build,Processed
Dashboard Opportunity Detection,"It would be helpful to have a clear view of all opportunities identified for each account.
Ideally, this would include a dedicated entry in our dashboard that lists all detected opportunities for each experiment. This way, we could access everything in one place without having to sift through multiple results pages.",Open,"_⭐ App System Squad, _⭐ Reporting Squad, Ex owner: Loreena, Q4 2024, App System, Processed",Build,Processed
Dashboard des Custom Data,"Dashboard des Custom Data :
Avoir la possibilité de sélectionner plusieurs CD d'un sitecode A et de les dupliquer toutes d'un coup vers un sitecode B
ajd le select multiple permet uniquement de supprimer les CD",Open,"_⭐ App System Squad, new idea, important, Ex owner: Loreena, Q4 2025, App System, Unprocessed",Build,Unprocessed
Dashboards manage tag section selecting new tag,"In the dashboards, in the ""manage tag"" section, when selecting a new tag, there is a 3 sec latency before it is selected and highlighted.
At least the UI response (the blue highlight) should be insantaneous because one may think this the feature is not working (it is the case for Eminza for example, they didn't use the tag feature because of it !)",Open,"🙂 Interface squad, new idea, important, Ex owner: Tribe Marketers, Q2 2022, App System, Processed",Build,Processed
Data warehouse integration Big Query Snowflake etc,"Data warehouse integration (Big Query, Snowflake, etc.) to import products into the product recommendation.
The customer would create a kameleoonProducts SQL table, for example, with all the product information and then send us the table via a query, like the Big Querry and Snowflake integration for segments in the BO.
I think we'll gain in speed when onboarding a customer on product recommendation.",Open,"_⭐ Integrations Squad, _⭐ Studio Squad, new idea, nice to have, Ex owner: Yassin Hassan, Q4 2024, Start & Admin, Processed",Set up,Processed
Data warehouses Query Testing,"Better real time data allows us to use more goals in Kameleoon, conduct better QA and run more tests. Right now we have a delay between test launch and data acquisition",Open,"Aggregated Topic, Ex owner: Isabelle Ung, _⭐ Integrations Squad, Q3 2025, Integrations, Processed",Set up,Processed
Databricks integration,[SUBMITTED ON BEHALF OF KAIZEN 75K ARR] Kaizen are using Databricks as their data lake (based on Azure) and would like to integrate with Kameleoon to use events from Databricks to target users + send exposure events from Kam to Databricks.,Open,"_⭐ Integrations Squad, Ex owner: Yassin Hassan, Q2 2024, Integrations, Processed",Set up,Processed
Date format European vs American on the main dashboard,"The date displayed on Kameeloon dashboard has the European format (dd-mm-yyyy), vs American in the results page (mm-dd-yyyy). The client is confused by the European view.",Open,"Ex owner: Loreena, Q2 2025, App System, Processed",Build,Processed
Date input widget studio displaying calendar select,"Have a Date input in the widget studio displaying a calendar to select the required date. Once selected, the date format would be automatically typed.",Open,"new idea, important, Ex owner: Lily from Kameleoon, Q2 2025, Visual Builders, Processed",Build,Processed
Date ranges preset options,"It is faster to look month week etc...

---

Interesting but not mandatory

---

Nice-to-have

---

Nice to have but not essential

---

Cool nice to have for demos",Open,"Aggregated Topic, Ex owner: Tribe Marketers, Results page, Q4 2022, Data & Governance, Unprocessed",Analyze,Unprocessed
Date results dashboard,"Date on the results dashboard
The date format on the results dashboard uses an american date display mm-dd-yyyy which makes sense for american clients but is usually confusing for the ROW who follow the dd-mm-yyy standards. This has caused some confusion in result analyses",Open,"_⭐ Reporting Squad, new idea, nice to have, Ex owner: Calixthe Mattei, Q3 2024, App System, Processed",Build,Processed
Date setting for the audience key information block,"Problem: The key information block in the Audience modul presents data about the performance of your experiment program for the last 12 months. The date range isn't adjustable.  The formulas are perfectly suitable for justifying the tool fees in management or to take them into consideration for the ROI calculation. However it would be necessary to set an adjustable time period for this, rather than a fixed 12 months.  Solution: Use a date range setting for the key information block. There are plenty of examples in the tool, e.g. from the new Result page or from the list view in the Audience module below.",Open,"_⭐ App System Squad, _⭐ Reporting Squad, Ex owner: Calixthe Mattei, Q4 2024, Data & Governance, Processed",Analyze,Processed
Decitre Add to cart from reco product counted in results,"As a customer, i want to track the add-to-cart click on my recommandation block and having them in my result dashboard.
Today, the click on such CTA is not linked to the recommandation block",Open,"Ex owner: Lily from Kameleoon, Q1 2024, App System, Processed",Build,Processed
Default activation of integrations,Tele2 would like to have by default the activation activated when they finalize an experiment no need to check the other tools each time.  This could be an option in the project to let the customer the default behavior.,Open,"🙂 Dev Tools Squad, Ex owner: Tribe Developer, Q3 2023, Integrations, Processed",Set up,Processed
Define default tracking-tools per Projekt which deselected,"Define default tracking-tools per Projekt, which can then be deselected. At the moment, we have to select the tools every time, when creating a campaign. Sometimes someone forgets to deselect.",Open,"🙂 Interface squad, new idea, nice to have, Ex owner: Mallaury Gruget, Q3 2023, Processed",General,Processed
Delete/update tags,"For now, creating, associating and disassociating tags from an experiment is possible.   However, it would be great to be able to:    Update tags   Delete tags",Open,"_⭐ App System Squad, Ex owner: Mallaury Gruget, Q2 2024, Start & Admin, Processed",Set up,Processed
Deliberate Allocation Colors Variations,"Deliberate Allocation of Colors For Variations
Currently, the allocation of colors per variation is automatic (result page, traffic allocation etc.). In some cases, two or more variations get the same color, which is pretty inconvenient when looking at graphs etc.
This could be remedied by making the colors choosable.",Open,"🙂 Dev Tools Squad, 🙂 Interface squad, new idea, nice to have, Ex owner: nan, Q4 2022, Unprocessed",General,Unprocessed
Demand par Euromaster avoir possibilit avoir module,"Il a été demandé par Euromaster d'avoir la possibilité d'avoir un module Kameleoon de tracking de heatmap du type Hotjaar.
Cela permettrait vraiment d'utiliser Kameleoon comme une single source of truth et centraliser les activités des différentes équipes",Open,"new idea, important, Ex owner: Fabien DIMEGLIO, Q2 2025, Unprocessed",General,Unprocessed
Design System Builder in widget editor,"Super useful to avoid ""christmas tree"" websites :)",Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q3 2023, App System, Unprocessed",Build,Unprocessed
Design different states for a same element,"It allows a wide range of new scenario

---

_

---

clients are demanding :) I thought we could do it already!

---

/

---

Totally agree with this ""basic"" feature !

---

essential for customer with no technical background

---

Nice to have!

---

Basic feature",Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q1 2022, Unprocessed",General,Unprocessed
Detached Simulation Console,"This would be fantastic.  Being able to hide the panel is nice, but often I am checking to make sure goals are accurately being captured, so I need the panel open for that, which takes up a lot of the screen, especially if I have the developer console open as well, which is very often the case.",Open,"Aggregated Topic, Ex owner: Yassin Hassan, _⭐ Admin & Engine Squad, Q2 2025, Core Techno, Processed",Set up,Processed
Details of custom data values gathered,Super important to analyze data,Open,"Aggregated Topic, Ex owner: Loreena, _⭐ App System Squad, Q1 2025, Processed",General,Processed
Detecting and filtering outliers,"Great for US customers!

---

important for prospects

---

It's important to exclude these values when e-commerce activity is centered essentially on B2C and marginally on B2B.
In our case, B2B brings in few orders, but with very high amounts (x10-x100) compared to the B2C average.
We don't want professional orders to influence B2C behavior

---

It's important to exclude these values when e-commerce activity is centered essentially on B2C and marginally on B2B.
In our case, B2B brings in few orders, but with very high amounts (x10-x100) compared to the B2C average.
We don't want professional orders to influence B2C behavior

---

It's important to exclude these values when e-commerce activity is centered essentially on B2C and marginally on B2B.
In our case, B2B brings in few orders, but with very high amounts (x10-x100) compared to the B2C average.
We don't want professional orders to influence B2C behavior

---

There are a lot of outlier days we have (especially in ecom) - this is a differentiator for the tool to be able to automatically remove outliers

---

Outliners distort the results of a test and a clean data line would improve the result",Open,"Aggregated Topic, Ex owner: Calixthe Mattei, _⭐ Reporting Squad, Q3 2023, Data & Governance, Processed",Analyze,Processed
Dev Kameleoon user base,"Dear dev team and Kameleoon user base,
I already mentioned this to Alex from Kameleoon, but in case the information got lost:
For all text/graphic alignment settings, I wanted to suggest an improvement inspired by my past experience working with Autodesk Maya (a 3D application). In Maya, when you hover over a value field and use the mouse scroll wheel, you can quickly adjust parameters, this is extremely handy and significantly improves speed and ease of use during design work.
At the moment, adjusting alignment via the keyboard (typing numbers, deleting, retyping, or using arrows as Alex suggested) feels frustrating and slow. The scroll interaction could really enhance the overall user experience for everyone.
Best regards,
Arnaud Lublink",Open,"_⭐ App System Squad, new idea, important, Ex owner: Loreena, Q2 2025, Unprocessed",General,Unprocessed
Developer Onboarding Improvements for SDKs,Code sample makes it easy for people understand.,Open,"Aggregated Topic, Ex owner: Tribe Developer, Q4 2024, Start & Admin, Processed",Set up,Processed
Device conditions segment,Have 2 device conditions in a segment,Open,"new idea, important, Ex owner: nan, Q2 2023, Unprocessed",General,Unprocessed
Device notifications alerting,"Interesting

---

Could be helpful",Open,"Aggregated Topic, Ex owner: Tribe Marketers, Results page, Q4 2022, App System, Unprocessed",Build,Unprocessed
